Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68d524174dc9ccf35ce07ebb,60d26e7cd9f0761e4d12b9f8,RETURNED,Not Applicable,2025-09-25T11:14:49.001000Z,,,,,,461,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d52ec586d63a8f363d3aa2,5909f8b6bc185d00011aa307,RETURNED,Not Applicable,2025-09-25T12:00:10.990000Z,,,,,,535,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d53d018d4c45273c5cb599,5f4d240fad40550ea19a06d8,TIMED-OUT,Not Applicable,2025-09-25T13:00:49.876000Z,,,,5713426.0,,58,48,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
68d56855c459b7c2e75aeb16,612058b64e8bd208d39fbe68,RETURNED,Not Applicable,2025-09-25T16:05:41.829000Z,,,,,,838,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d5a15588091d60848f6800,5d19fe19b3e698001eea9eb3,RETURNED,Not Applicable,2025-09-25T20:08:53.116000Z,,,,,,42,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d635804e58a7d57bbd21ba,5c48be0496d59b000183e68d,RETURNED,Not Applicable,2025-09-26T06:41:08.090000Z,,,,,,1723,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d66306aa8f91c0a1612dfb,5eeb70e011363a08142ff479,RETURNED,Not Applicable,2025-09-26T09:57:05.376000Z,,,,,,399,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d6782feea8ebf5c3feea14,5c7d9260b5254b0001906c92,RETURNED,Not Applicable,2025-09-26T11:25:46.811000Z,,,,,,652,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d680bbff848abc36068eaf,5c9c0dd4f8c3ec00018b9985,RETURNED,Not Applicable,2025-09-26T12:02:09.545000Z,,,,,,1028,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d686f338a4deb6a3336423,5c69824b98f65b0001353794,RETURNED,Not Applicable,2025-09-26T12:28:51.714000Z,,,,,,753,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d6873e058d39324526611f,6166c6d27d9c93555420acfa,RETURNED,Not Applicable,2025-09-26T12:29:56.245000Z,,,,,,471,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d68da9e2ab470370229417,5d4054913c57d800195a641d,RETURNED,Not Applicable,2025-09-26T12:59:25.364000Z,,,,,,129,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d6a140f754f3535143ba95,66bf578f206a200d6fd4641b,TIMED-OUT,Not Applicable,2025-09-26T14:20:48.397000Z,,,,5622228.0,,3,21,Female,White,Hungary,Hungary,DATA_EXPIRED,Hungarian,Yes,DATA_EXPIRED
68d6e34a1243128ce4460f28,615402e93e58a782a61c2760,RETURNED,Not Applicable,2025-09-26T19:02:37.475000Z,,,,,,299,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d7a8010efa06fd9b1f11df,5f0c995fb3b906653518cc76,RETURNED,Not Applicable,2025-09-27T09:02:00.744000Z,,,,,,348,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d8c1dfbd0f9c959e4c7504,6044b10081c5b853030c7e55,RETURNED,Not Applicable,2025-09-28T05:04:31.106000Z,,,,,,350,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68d8fb5cd509dcf0814e91b6,614b3c9841ec83f217fd5e9e,RETURNED,Not Applicable,2025-09-28T09:09:56.701000Z,,,,,,79,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
