participant_id,label,item_order,no,item,condition,counterbalancing,left,right,r1_rt,r2_rt,r3_rt,r4_rt,r5_rt,r6_rt,r7_rt,question_rt,choice_rt,choice_side,choice_time,et_calibration,et_calibration_time,et_file,et_file_time,left_dominant,left_fixation_count,left_dwell,left_tff,left_revisits,left_avg_fix,right_dominant,right_fixation_count,right_dwell,right_tff,right_revisits,right_avg_fix
b,experiment,24,32.0,,n,újságíró,politikus,participant_id,,,,,,,,,,,,,,,,1.0,2.0,2546.0,0.0,1.0,1273.0,0.0,1.0,123.0,1529.0,0.0,123.0
b,experiment,25,8.0,,y,8b,8a,participant_id,,,,,,,,,,,,,,,,0.0,4.0,955.0,0.0,3.0,238.75,1.0,4.0,1814.0,40.0,3.0,453.5
b,experiment,26,29.0,,y,földműves,munkás,participant_id,,,,,,,,,,,,,,,,1.0,8.0,2822.0,208.0,7.0,352.75,0.0,8.0,1155.0,0.0,7.0,144.375
b,experiment,27,23.0,,n,rendőr,biztonsági őr,participant_id,,,,,,,,,,,,,,,,0.0,4.0,442.0,1738.0,3.0,110.5,1.0,4.0,2925.0,44.0,3.0,731.25
b,experiment,28,2.0,,y,2b,2a,participant_id,,,,,,,,,,,,,,,,0.0,3.0,519.0,70.0,2.0,173.0,1.0,2.0,1115.0,109.0,1.0,557.5
b,experiment,29,3.0,,n,3a,3b,participant_id,,,,,,,,,,,,,,,,1.0,7.0,2725.0,76.0,6.0,389.2857142857143,0.0,7.0,1255.0,0.0,6.0,179.28571428571428
b,experiment,30,13.0,,y,13b,13a,participant_id,,,,,,,,,,,,,,,,1.0,6.0,3167.0,110.0,5.0,527.8333333333334,0.0,6.0,1065.0,0.0,5.0,177.5
b,experiment,31,15.0,,n,15a,15b,participant_id,,,,,,,,,,,,,,,,0.0,2.0,914.0,0.0,1.0,457.0,1.0,2.0,1367.0,111.0,1.0,683.5
b,experiment,32,32.0,,y,újságíró,politikus,participant_id,,,,,,,,,,,,,,,,1.0,8.0,3653.0,0.0,7.0,456.625,0.0,7.0,554.0,227.0,6.0,79.14285714285714
b,experiment,33,34.0,,n,elefánt,hangya,participant_id,,,,,,,,,,,,,,,,0.0,5.0,1043.0,300.0,4.0,208.6,1.0,5.0,1738.0,0.0,4.0,347.6
b,experiment,34,11.0,,n,11a,11b,participant_id,,,,,,,,,,,,,,,,1.0,4.0,1720.0,151.0,3.0,430.0,0.0,5.0,1031.0,0.0,4.0,206.2
b,experiment,35,20.0,,n,programozó,rendező,participant_id,,,,,,,,,,,,,,,,0.0,1.0,43.0,1094.0,0.0,43.0,1.0,2.0,1577.0,0.0,1.0,788.5
b,experiment,36,4.0,,n,4a,4b,participant_id,,,,,,,,,,,,,,,,1.0,2.0,1871.0,37.0,1.0,935.5,0.0,2.0,202.0,0.0,1.0,101.0
b,experiment,37,7.0,,y,7b,7a,participant_id,,,,,,,,,,,,,,,,1.0,8.0,3066.0,0.0,7.0,383.25,0.0,8.0,1772.0,38.0,7.0,221.5
b,experiment,38,26.0,,n,pilóta,professzor,participant_id,,,,,,,,,,,,,,,,0.0,1.0,42.0,0.0,0.0,42.0,1.0,1.0,1745.0,42.0,0.0,1745.0
b,experiment,39,9.0,,n,9a,9b,participant_id,,,,,,,,,,,,,,,,0.0,7.0,1264.0,0.0,6.0,180.57142857142858,1.0,6.0,2550.0,369.0,5.0,425.0
b,experiment,40,24.0,,n,mérnök,építész,participant_id,,,,,,,,,,,,,,,,0.0,6.0,1193.0,79.0,5.0,198.83333333333334,1.0,5.0,1672.0,371.0,4.0,334.4
b,experiment,41,35.0,,y,tigris,pelikán,participant_id,,,,,,,,,,,,,,,,1.0,7.0,2902.0,0.0,6.0,414.57142857142856,0.0,6.0,334.0,280.0,5.0,55.666666666666664
b,experiment,42,20.0,,y,programozó,rendező,participant_id,,,,,,,,,,,,,,,,0.0,5.0,868.0,38.0,4.0,173.6,1.0,6.0,1357.0,0.0,5.0,226.16666666666666
b,experiment,43,28.0,,y,Julcsi,Mária,participant_id,,,,,,,,,,,,,,,,0.0,4.0,774.0,0.0,3.0,193.5,1.0,3.0,1052.0,45.0,2.0,350.6666666666667
b,experiment,44,31.0,,y,üzletember,művész,participant_id,,,,,,,,,,,,,,,,0.0,4.0,1460.0,0.0,3.0,365.0,1.0,3.0,1555.0,1016.0,2.0,518.3333333333334
b,experiment,45,27.0,,n,kórboncnok,katona,participant_id,,,,,,,,,,,,,,,,1.0,4.0,2145.0,0.0,3.0,536.25,0.0,3.0,274.0,38.0,2.0,91.33333333333333
b,experiment,46,36.0,,n,vacsora,reggeli,participant_id,,,,,,,,,,,,,,,,1.0,3.0,2918.0,70.0,2.0,972.6666666666666,0.0,2.0,83.0,2748.0,1.0,41.5
b,experiment,47,14.0,,y,14b,14a,participant_id,,,,,,,,,,,,,,,,1.0,10.0,3630.0,128.0,9.0,363.0,0.0,10.0,1319.0,0.0,9.0,131.9
b,experiment,48,19.0,,y,dolgozó,szakács,participant_id,,,,,,,,,,,,,,,,0.0,7.0,719.0,0.0,6.0,102.71428571428571,1.0,6.0,996.0,89.0,5.0,166.0
b,experiment,49,18.0,,y,18b,18a,participant_id,,,,,,,,,,,,,,,,0.0,3.0,237.0,432.0,2.0,79.0,1.0,4.0,1474.0,91.0,3.0,368.5
b,experiment,50,6.0,,y,6b,6a,participant_id,,,,,,,,,,,,,,,,1.0,5.0,1786.0,142.0,4.0,357.2,0.0,5.0,559.0,0.0,4.0,111.8
c,experiment,10,14.0,,n,14a,14b,participant_id,,,,,,,,,,,,,,,,1.0,8.0,2692.0,0.0,7.0,336.5,0.0,8.0,1017.0,554.0,7.0,127.125
c,experiment,11,11.0,,y,11b,11a,participant_id,,,,,,,,,,,,,,,,1.0,11.0,2745.0,278.0,10.0,249.54545454545453,0.0,11.0,1215.0,0.0,10.0,110.45454545454545
