participant_id,label,item_order,no,item,condition,counterbalancing,left,right,r1_rt,r2_rt,r3_rt,r4_rt,r5_rt,r6_rt,r7_rt,question_rt,choice_rt,choice_side,choice_time,et_calibration,et_calibration_time,et_file,et_file_time,left_dominant,left_fixation_count,left_dwell,left_tff,left_revisits,left_avg_fix,right_dominant,right_fixation_count,right_dwell,right_tff,right_revisits,right_avg_fix
c,experiment,39,5.0,,y,5b,5a,participant_id,,,,,,,,,,,,,,,,0.0,7.0,1264.0,0.0,6.0,180.57142857142858,1.0,6.0,2550.0,369.0,5.0,425.0
c,experiment,40,31.0,,n,üzletember,művész,participant_id,,,,,,,,,,,,,,,,0.0,6.0,1193.0,79.0,5.0,198.83333333333334,1.0,5.0,1672.0,371.0,4.0,334.4
c,experiment,41,21.0,,y,tűzoltó,orvos,participant_id,,,,,,,,,,,,,,,,1.0,7.0,2902.0,0.0,6.0,414.57142857142856,0.0,6.0,334.0,280.0,5.0,55.666666666666664
c,experiment,42,27.0,,y,katona,kórboncnok,participant_id,,,,,,,,,,,,,,,,0.0,5.0,868.0,38.0,4.0,173.6,1.0,6.0,1357.0,0.0,5.0,226.16666666666666
c,experiment,43,15.0,,n,15a,15b,participant_id,,,,,,,,,,,,,,,,0.0,4.0,774.0,0.0,3.0,193.5,1.0,3.0,1052.0,45.0,2.0,350.6666666666667
c,experiment,44,24.0,,y,építész,mérnök,participant_id,,,,,,,,,,,,,,,,0.0,4.0,1460.0,0.0,3.0,365.0,1.0,3.0,1555.0,1016.0,2.0,518.3333333333334
c,experiment,45,28.0,,n,Julcsi,Mária,participant_id,,,,,,,,,,,,,,,,1.0,4.0,2145.0,0.0,3.0,536.25,0.0,3.0,274.0,38.0,2.0,91.33333333333333
c,experiment,46,26.0,,y,professzor,pilóta,participant_id,,,,,,,,,,,,,,,,1.0,3.0,2918.0,70.0,2.0,972.6666666666666,0.0,2.0,83.0,2748.0,1.0,41.5
c,experiment,47,9.0,,n,9a,9b,participant_id,,,,,,,,,,,,,,,,1.0,10.0,3630.0,128.0,9.0,363.0,0.0,10.0,1319.0,0.0,9.0,131.9
c,experiment,48,29.0,,y,munkás,földműves,participant_id,,,,,,,,,,,,,,,,0.0,7.0,719.0,0.0,6.0,102.71428571428571,1.0,6.0,996.0,89.0,5.0,166.0
c,experiment,49,13.0,,n,13a,13b,participant_id,,,,,,,,,,,,,,,,0.0,3.0,237.0,432.0,2.0,79.0,1.0,4.0,1474.0,91.0,3.0,368.5
