MD5,trial,label,PennElementType,PennElementName,Parameter,Value,participant_id,group,no,item,exp,condition,cb,left,right,target,results_time,event_time,elapsed_ms
5ea96059c7f8c9bb71d4ecdb67ea496e,7,practice,Key,r6,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,991,2,,practice,y,D,C,C,2025-09-22 16:33:59+00:00,2025-09-22 16:05:42.740000+00:00,965.0
5ea96059c7f8c9bb71d4ecdb67ea496e,7,practice,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,991,2,,practice,y,D,C,C,2025-09-22 16:33:59+00:00,2025-09-22 16:05:43.510000+00:00,770.0
5ea96059c7f8c9bb71d4ecdb67ea496e,7,practice,Selector,choice_selector,Selection,right_canvas,60d26e7cd9f0761e4d12b9f8,a,991,2,,practice,y,D,C,C,2025-09-22 16:33:59+00:00,2025-09-22 16:05:48.056000+00:00,4546.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,EyeTracker,tracker,calibration,83,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:05:53.113000+00:00,5053.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,EyeTracker,tracker,Filename,httpsfarmpcibexnetpzCPVqO/e48687db-1afc-905a-9709-fabcc6e4dfe4,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:15.217000+00:00,22104.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Canvas,right_canvas,Print,NA,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:13.387000+00:00,-1830.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r0,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:05:58.343000+00:00,-15044.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r1,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:05:59.280000+00:00,937.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r2,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:00.136000+00:00,856.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r3,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:00.945000+00:00,809.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r4,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:01.880000+00:00,935.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r5,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:02.777000+00:00,897.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r6,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:03.661000+00:00,884.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:04.606000+00:00,945.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Key,question,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:10.348000+00:00,5742.0
5ea96059c7f8c9bb71d4ecdb67ea496e,8,practice,Selector,choice_selector,Selection,left_canvas,60d26e7cd9f0761e4d12b9f8,a,992,3,,practice,n,E,F,E,2025-09-22 16:33:59+00:00,2025-09-22 16:06:15.215000+00:00,4867.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,EyeTracker,tracker,calibration,57,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:06:22.154000+00:00,4018.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,EyeTracker,tracker,calibration,53,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:21.724000+00:00,59570.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,EyeTracker,tracker,Filename,httpsfarmpcibexnetpzCPVqO/e48687db-1afc-905a-9709-fabcc6e4dfe4,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:48.840000+00:00,27116.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Canvas,right_canvas,Print,NA,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:47.780000+00:00,-1060.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r0,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:38.760000+00:00,-9020.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r1,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:39.837000+00:00,1077.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r2,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:40.621000+00:00,784.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r3,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:41.357000+00:00,736.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r4,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:42.278000+00:00,921.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r5,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:43.154000+00:00,876.0
