results_time,participant_id,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,mismatch,chosen_type,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,n_fix_left,n_fix_right,transitions,tff,ffl,fixations_left,fixations_right,fixation_count_total,revisits_left,revisits_right,revisits_total
2025-10-08 11:45:02,59679c319febf80001d53655,a,34,experiment,51,17,1,contrastive,n,17a,17b,17b,637.0,572.0,673.0,646.0,693.0,705.0,984.0,,823.0,left,True,A,right,0.5,0.5,0.71,0.35,0.35,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-08 11:45:02,59679c319febf80001d53655,a,21,experiment,53,18,1,focus,n,18a,18b,,650.0,681.0,1042.0,832.0,961.0,1063.0,1575.0,,5059.0,left,False,A,right,0.32,0.68,5.15,1.64,3.51,2.0,2.0,3.0,0.0,right,2.0,2.0,4.0,1.0,1.0,2.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,33,experiment,3,1,1,contrastive,n,1a,1b,1b,483.0,396.0,428.0,405.0,402.0,612.0,481.0,,1130.0,right,False,B,right,0.0,1.0,1.09,0.0,1.09,0.0,1.0,0.0,0.0,right,0.0,1.0,1.0,0.0,0.0,0.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,36,experiment,5,2,1,focus,n,2a,2b,,440.0,342.0,384.0,444.0,431.0,484.0,476.0,,1052.0,left,False,A,left,1.0,0.0,1.04,1.04,0.0,2.0,0.0,0.0,0.0,left,2.0,0.0,2.0,1.0,0.0,1.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,34,experiment,7,3,1,exclusive,n,3a,3b,3a,473.0,393.0,366.0,443.0,408.0,888.0,383.0,,1006.0,left,False,A,left,1.0,0.0,0.93,0.93,0.0,1.0,0.0,0.0,0.0,left,1.0,0.0,1.0,0.0,0.0,0.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,47,experiment,12,4,1,contrastive,y,4b,4a,4b,449.0,346.0,370.0,468.0,373.0,349.0,434.0,,1091.0,left,False,B,left,0.82,0.18,1.0,0.83,0.18,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,27,experiment,14,5,1,focus,y,5b,5a,,512.0,539.0,449.0,383.0,434.0,397.0,576.0,,1985.0,right,False,A,left,0.71,0.29,1.96,1.39,0.57,2.0,1.0,1.0,0.0,left,2.0,1.0,3.0,1.0,0.0,1.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,17,experiment,16,6,1,exclusive,y,6b,6a,6a,502.0,501.0,492.0,481.0,445.0,541.0,456.0,,1475.0,right,False,A,right,0.31,0.69,1.26,0.39,0.87,2.0,2.0,2.0,0.0,right,2.0,2.0,4.0,1.0,1.0,2.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,49,experiment,21,7,1,contrastive,n,7a,7b,7b,458.0,311.0,329.0,326.0,301.0,353.0,380.0,,1072.0,right,False,B,right,0.0,1.0,0.69,0.0,0.69,0.0,2.0,0.0,0.0,right,0.0,2.0,2.0,0.0,1.0,1.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,12,experiment,23,8,1,focus,n,8a,8b,,748.0,669.0,468.0,504.0,546.0,604.0,505.0,,1880.0,left,False,A,left,0.77,0.23,2.04,1.58,0.46,2.0,1.0,2.0,0.0,left,2.0,1.0,3.0,1.0,0.0,1.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,40,experiment,25,9,1,exclusive,n,9a,9b,9a,481.0,397.0,325.0,494.0,417.0,404.0,475.0,,1227.0,left,False,A,left,0.73,0.27,1.16,0.85,0.31,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,43,experiment,30,10,1,contrastive,y,10b,10a,10b,455.0,392.0,351.0,489.0,439.0,413.0,800.0,,1240.0,left,False,B,left,1.0,0.0,1.14,1.14,0.0,1.0,0.0,0.0,0.0,left,1.0,0.0,1.0,0.0,0.0,0.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,22,experiment,32,11,1,focus,y,11b,11a,,434.0,549.0,479.0,435.0,492.0,728.0,582.0,,1453.0,right,False,A,right,0.0,1.0,1.4,0.0,1.4,0.0,2.0,0.0,0.0,right,0.0,2.0,2.0,0.0,1.0,1.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,10,experiment,34,12,1,exclusive,y,12b,12a,12a,848.0,913.0,1243.0,988.0,1078.0,1042.0,2302.0,,1895.0,right,False,A,right,0.08,0.92,1.82,0.14,1.67,1.0,1.0,1.0,0.0,left,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,20,experiment,39,13,1,contrastive,n,13a,13b,13b,556.0,465.0,464.0,481.0,414.0,397.0,865.0,,5265.0,right,False,B,right,0.23,0.77,4.91,1.14,3.77,3.0,4.0,3.0,0.0,left,3.0,4.0,7.0,2.0,3.0,5.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,29,experiment,41,14,1,focus,n,14a,14b,,462.0,381.0,332.0,435.0,435.0,684.0,1017.0,,4251.0,left,False,A,left,0.6,0.4,4.24,2.53,1.71,2.0,2.0,3.0,0.0,right,2.0,2.0,4.0,1.0,1.0,2.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,15,experiment,43,15,1,exclusive,n,15a,15b,15a,701.0,553.0,593.0,669.0,523.0,935.0,636.0,,2900.0,left,False,A,left,0.68,0.32,2.48,1.67,0.8,4.0,1.0,2.0,0.0,left,4.0,1.0,5.0,3.0,0.0,3.0
