trial,_right_canvas_practice,times,_left_canvas_practice,_left_canvas,_right_canvas,
11,0,2921,1,,,
11,0,2965,1,,,
11,0,3002,1,,,
11,0,3040,1,,,
11,0,3081,1,,,
11,0,3125,1,,,
11,0,3168,1,,,
11,0,3210,1,,,
11,1,3262,0,,,
11,0,3306,1,,,
11,0,3344,1,,,
11,0,3387,1,,,
11,0,3431,1,,,
11,1,3465,0,,,
11,0,3505,1,,,
11,0,3546,1,,,
11,1,3591,0,,,
11,1,3630,0,,,
11,0,3671,1,,,
11,0,3712,1,,,
11,0,3754,0,,,
11,0,3798,1,,,
11,0,3834,1,,,
11,0,3873,1,,,
11,0,3915,0,,,
11,0,3960,1,,,
23,,0,,0,0,
23,,46,,0,0,
23,,86,,1,0,
23,,127,,0,0,
23,,169,,0,0,
23,,212,,0,1,
23,,256,,0,0,
23,,300,,0,1,
23,,343,,1,0,
23,,383,,1,0,
23,,427,,0,0,
23,,473,,1,0,
23,,515,,0,1,
23,,553,,0,0,
23,,597,,0,1,
23,,642,,1,0,
23,,679,,1,0,
23,,724,,1,0,
23,,768,,1,0,
23,,812,,1,0,
23,,863,,0,0,
23,,904,,1,0,
23,,948,,1,0,
23,,990,,1,0,
23,,1034,,0,1,
23,,1078,,1,0,
23,,1125,,1,0,
23,,1170,,1,0,
23,,1213,,0,0,
23,,1260,,1,0,
23,,1301,,1,0,
23,,1340,,1,0,
23,,1384,,1,0,
23,,1424,,1,0,
23,,1464,,1,0,
23,,1509,,1,0,
23,,1551,,0,0,
23,,1590,,1,0,
23,,1633,,0,1,
23,,1676,,0,1,
23,,1721,,0,1,
23,,1764,,0,1,
23,,1814,,0,1,
23,,1855,,0,0,
23,,1898,,0,1,
23,,1941,,1,0,
23,,1983,,0,0,
23,,2037,,1,0,
23,,2073,,1,0,
23,,2105,,1,0,
23,,2143,,1,0,
23,,2184,,1,0,
23,,2217,,1,0,
23,,2258,,1,0,
23,,2300,,1,0,
23,,2340,,1,0,
23,,2378,,1,0,
23,,2417,,1,0,
23,,2451,,1,0,
23,,2485,,1,0,
23,,2519,,1,0,
23,,2551,,1,0,
23,,2585,,1,0,
23,,2621,,1,0,
23,,2661,,1,0,
23,,2700,,1,0,
23,,2743,,1,0,
23,,2776,,1,0,
23,,2807,,1,0,
23,,2851,,0,1,
23,,2891,,0,0,
23,,2940,,0,0,
23,,2983,,0,0,
23,,3018,,0,0,
23,,3058,,0,0,
23,,3095,,0,0,
23,,3135,,0,0,
23,,3171,,0,0,
23,,3206,,0,1,
23,,3246,,0,0,
23,,3291,,0,1,
23,,3327,,0,1,
23,,3369,,0,1,
23,,3410,,0,1,
23,,3453,,0,0,
23,,3496,,0,0,
23,,3535,,0,0,
23,,3572,,0,0,
23,,3610,,0,0,
23,,3651,,0,0,
23,,3694,,0,0,
23,,3739,,0,1,
23,,3783,,0,1,
23,,3825,,0,1,
23,,3863,,0,1,
23,,3895,,0,1,
23,,3935,,0,0,
23,,3969,,0,1,
23,,4001,,0,1,
23,,4035,,0,0,
23,,4075,,0,0,
23,,4121,,0,1,
23,,4166,,0,1,
23,,4206,,0,0,
23,,4245,,0,1,
23,,4292,,0,1,
23,,4335,,0,0,
23,,4374,,0,1,
23,,4416,,0,1,
23,,4451,,0,1,
23,,4492,,0,1,
23,,4537,,0,1,
23,,4578,,0,1,
23,,4621,,0,1,
23,,4664,,0,1,
23,,4701,,0,1,
23,,4745,,0,1,
23,,4784,,0,1,
23,,4817,,0,1,
23,,4850,,0,1,
23,,4893,,0,1,
23,,4936,,0,1,
23,,5003,,0,1,
23,,5040,,0,0,
23,,5082,,0,1,
23,,5124,,0,1,
23,,5174,,0,0,
23,,5213,,0,1,
23,,5252,,0,1,
23,,5286,,0,1,
23,,5317,,0,0,
23,,5359,,0,1,
23,,5406,,0,1,
23,,5450,,0,1,
23,,5490,,0,1,
23,,5533,,0,1,
23,,5574,,0,1,
23,,5619,,0,1,
23,,5669,,0,1,
23,,5711,,0,0,
23,,5751,,0,1,
23,,5791,,0,1,
23,,5836,,0,1,
23,,5877,,0,1,
23,,5920,,0,1,
23,,5962,,0,1,
23,,6008,,0,1,
23,,6051,,0,1,
23,,6096,,0,0,
23,,6142,,0,1,
23,,6187,,0,0,
23,,6227,,0,1,
23,,6270,,0,1,
23,,6318,,0,1,
23,,6357,,0,1,
23,,6402,,0,0,
23,,6441,,0,0,
23,,6485,,0,0,
23,,6523,,0,0,
23,,6553,,0,0,
23,,6594,,0,0,
23,,6635,,0,1,
23,,6681,,1,0,
23,,6725,,1,0,
23,,6759,,1,0,
23,,6795,,1,0,
23,,6834,,1,0,
23,,6867,,0,1,
23,,6903,,1,0,
23,,6937,,0,1,
23,,6984,,1,0,
23,,7026,,0,0,
23,,7070,,0,1,
23,,7108,,0,1,
23,,7148,,0,0,
23,,7185,,0,1,
23,,7226,,0,0,
23,,7259,,0,1,
23,,7294,,0,1,
23,,7332,,0,1,
23,,7369,,0,1,
23,,7423,,0,1,
23,,7457,,0,0,
23,,7493,,0,0,
23,,7530,,0,1,
23,,7560,,0,1,
23,,7592,,0,1,
23,,7622,,0,0,
23,,7652,,1,0,
23,,7684,,0,1,
23,,7717,,0,0,
23,,7753,,0,1,
23,,7789,,0,1,
23,,7822,,0,1,
23,,7855,,0,1,
23,,7894,,0,1,
23,,7946,,0,1,
23,,7977,,0,1,
23,,8019,,0,1,
23,,8056,,0,1,
23,,8095,,0,1,
23,,8131,,0,1,
23,,8169,,0,1,
23,,8204,,0,1,
23,,8244,,0,1,
23,,8284,,0,1,
23,,8331,,0,1,
23,,8371,,0,1,
23,,8413,,0,1,
47,,0,,0,1,
47,,40,,0,1,
47,,85,,0,0,
47,,128,,1,0,
47,,170,,1,0,
47,,215,,0,1,
47,,257,,0,0,
47,,294,,1,0,
47,,334,,1,0,
47,,376,,0,1,
47,,421,,1,0,
47,,465,,1,0,
47,,508,,1,0,
47,,554,,0,0,
47,,594,,1,0,
47,,637,,1,0,
47,,680,,1,0,
47,,725,,1,0,
47,,765,,1,0,
47,,802,,0,1,
47,,838,,0,0,
47,,879,,0,1,
47,,921,,0,1,
47,,961,,0,1,
47,,1004,,0,1,
47,,1041,,1,0,
47,,1073,,1,0,
47,,1111,,1,0,
47,,1153,,0,0,
47,,1193,,0,1,
47,,1234,,0,1,
47,,1272,,0,1,
47,,1333,,0,1,
47,,1370,,0,1,
47,,1402,,0,1,
47,,1437,,0,1,
47,,1477,,0,1,
47,,1521,,0,1,
47,,1564,,0,1,
47,,1603,,0,1,
47,,1645,,0,1,
47,,1689,,0,1,
47,,1737,,1,0,
47,,1777,,1,0,
47,,1808,,1,0,
47,,1849,,1,0,
47,,1894,,0,0,
47,,1941,,1,0,
47,,1986,,1,0,
47,,2029,,1,0,
47,,2064,,1,0,
47,,2109,,1,0,
47,,2145,,0,0,
47,,2188,,0,0,
47,,2229,,1,0,
47,,2273,,1,0,
47,,2316,,1,0,
47,,2354,,1,0,
47,,2392,,0,0,
47,,2432,,1,0,
47,,2479,,1,0,
47,,2521,,1,0,
47,,2563,,1,0,
47,,2611,,1,0,
47,,2649,,1,0,
47,,2693,,1,0,
47,,2736,,1,0,
47,,2783,,1,0,
47,,2821,,1,0,
47,,2857,,1,0,
47,,2891,,1,0,
47,,2935,,1,0,
47,,2979,,1,0,
47,,3023,,1,0,
47,,3063,,1,0,
47,,3104,,1,0,
47,,3140,,1,0,
47,,3174,,1,0,
47,,3204,,1,0,
47,,3244,,0,1,
47,,3283,,1,0,
47,,3323,,0,1,
47,,3361,,1,0,
47,,3401,,0,0,
47,,3440,,1,0,
47,,3490,,1,0,
47,,3524,,1,0,
47,,3567,,1,0,
47,,3607,,0,1,
47,,3653,,0,0,
47,,3698,,0,0,
47,,3729,,1,0,
47,,3765,,1,0,
47,,3810,,0,0,
47,,3843,,1,0,
47,,3878,,0,0,
47,,3913,,0,1,
47,,3954,,1,0,
47,,3991,,0,0,
47,,4031,,1,0,
47,,4070,,1,0,
47,,4104,,1,0,
47,,4142,,1,0,
47,,4198,,1,0,
47,,4229,,1,0,
47,,4257,,1,0,
47,,4285,,1,0,
47,,4322,,1,0,
47,,4362,,0,1,
47,,4406,,1,0,
47,,4447,,0,0,
47,,4482,,1,0,
47,,4527,,1,0,
47,,4569,,1,0,
47,,4608,,1,0,
47,,4654,,1,0,
47,,4691,,1,0,
47,,4734,,1,0,
47,,4775,,1,0,
47,,4813,,1,0,
47,,4859,,1,0,
47,,4905,,1,0,
47,,4949,,1,0,
35,,0,,0,1,
35,,52,,0,1,
35,,94,,0,1,
35,,134,,0,1,
35,,178,,0,1,
35,,215,,0,1,
35,,256,,0,1,
35,,295,,0,1,
35,,336,,0,1,
35,,370,,0,1,
35,,401,,0,1,
35,,445,,0,1,
35,,488,,0,1,
35,,531,,0,1,
35,,569,,0,1,
35,,611,,0,1,
35,,653,,0,1,
35,,685,,0,1,
35,,719,,0,1,
35,,750,,0,1,
35,,785,,0,1,
35,,818,,0,1,
35,,861,,0,1,
35,,901,,0,1,
35,,946,,0,1,
35,,986,,0,1,
35,,1026,,0,1,
35,,1059,,0,0,
35,,1094,,1,0,
35,,1137,,0,1,
35,,1183,,0,0,
35,,1227,,0,1,
35,,1270,,0,0,
35,,1313,,0,1,
35,,1352,,0,1,
35,,1397,,0,1,
35,,1432,,0,1,
35,,1462,,0,1,
35,,1520,,0,1,
35,,1551,,0,1,
35,,1579,,0,1,
35,,1620,,0,1,
17,,0,,0,0,
17,,44,,1,0,
17,,87,,0,0,
17,,130,,1,0,
17,,174,,1,0,
17,,215,,0,1,
17,,255,,1,0,
17,,292,,1,0,
17,,334,,0,1,
17,,376,,1,0,
17,,420,,0,1,
17,,460,,1,0,
17,,510,,0,1,
17,,545,,1,0,
17,,583,,1,0,
17,,622,,1,0,
17,,667,,1,0,
17,,699,,1,0,
17,,744,,1,0,
17,,787,,1,0,
17,,834,,1,0,
17,,878,,1,0,
17,,923,,1,0,
17,,964,,1,0,
17,,1004,,1,0,
17,,1044,,1,0,
17,,1089,,1,0,
17,,1140,,1,0,
17,,1180,,1,0,
17,,1223,,1,0,
17,,1266,,1,0,
17,,1307,,1,0,
17,,1357,,1,0,
17,,1401,,1,0,
17,,1445,,1,0,
17,,1485,,1,0,
17,,1524,,1,0,
17,,1562,,0,0,
17,,1596,,1,0,
17,,1632,,0,1,
17,,1671,,0,1,
17,,1717,,0,1,
17,,1754,,0,1,
17,,1792,,0,1,
17,,1836,,0,1,
17,,1873,,0,1,
17,,1914,,0,1,
17,,1951,,0,1,
17,,1995,,0,1,
17,,2034,,0,1,
17,,2071,,0,1,
17,,2109,,0,1,
17,,2151,,0,1,
17,,2190,,0,1,
17,,2233,,0,0,
17,,2273,,0,0,
17,,2318,,0,1,
17,,2365,,0,0,
17,,2397,,0,1,
17,,2437,,0,1,
17,,2481,,0,1,
17,,2524,,0,1,
17,,2564,,0,1,
17,,2603,,0,0,
17,,2645,,0,1,
17,,2686,,0,1,
17,,2727,,0,1,
17,,2772,,0,1,
17,,2817,,0,1,
17,,2863,,0,1,
17,,2906,,0,1,
17,,2947,,0,1,
17,,2998,,1,0,
17,,3037,,1,0,
17,,3076,,1,0,
17,,3116,,1,0,
17,,3166,,0,0,
17,,3209,,0,0,
17,,3250,,1,0,
17,,3292,,1,0,
17,,3332,,1,0,
17,,3372,,1,0,
17,,3407,,1,0,
17,,3459,,0,0,
17,,3493,,0,1,
32,,0,,1,0,
32,,60,,1,0,
32,,94,,1,0,
32,,125,,1,0,
32,,162,,1,0,
32,,196,,1,0,
32,,227,,0,1,
32,,262,,1,0,
32,,307,,1,0,
32,,342,,1,0,
32,,387,,1,0,
32,,436,,1,0,
32,,476,,1,0,
32,,519,,1,0,
32,,559,,0,1,
32,,601,,1,0,
32,,645,,1,0,
32,,686,,0,0,
32,,726,,0,1,
32,,766,,1,0,
32,,806,,1,0,
32,,855,,1,0,
32,,898,,1,0,
32,,943,,1,0,
32,,986,,0,1,
32,,1028,,1,0,
32,,1062,,1,0,
32,,1111,,1,0,
32,,1152,,0,1,
32,,1194,,0,1,
32,,1239,,0,0,
32,,1285,,1,0,
32,,1334,,1,0,
32,,1377,,1,0,
32,,1416,,1,0,
32,,1458,,1,0,
32,,1503,,1,0,
32,,1546,,0,0,
32,,1589,,1,0,
32,,1633,,1,0,
32,,1675,,1,0,
32,,1714,,1,0,
32,,1757,,1,0,
32,,1800,,1,0,
32,,1843,,1,0,
32,,1885,,1,0,
32,,1928,,1,0,
32,,1973,,1,0,
32,,2014,,1,0,
32,,2051,,0,0,
32,,2095,,0,0,
32,,2136,,0,0,
32,,2180,,1,0,
32,,2224,,1,0,
32,,2263,,1,0,
32,,2302,,1,0,
32,,2346,,1,0,
32,,2386,,1,0,
32,,2431,,0,0,
32,,2474,,0,0,
32,,2517,,0,1,
32,,2558,,0,1,
32,,2597,,0,1,
32,,2634,,0,1,
32,,2668,,0,1,
32,,2702,,0,1,
32,,2741,,1,0,
32,,2778,,1,0,
32,,2815,,1,0,
32,,2852,,1,0,
32,,2895,,1,0,
32,,2933,,1,0,
32,,2974,,1,0,
32,,3012,,1,0,
32,,3051,,1,0,
32,,3089,,1,0,
32,,3143,,1,0,
32,,3182,,0,1,
32,,3220,,1,0,
32,,3271,,1,0,
32,,3303,,1,0,
32,,3334,,1,0,
32,,3378,,1,0,
32,,3420,,1,0,
32,,3461,,1,0,
32,,3500,,1,0,
32,,3538,,1,0,
32,,3585,,1,0,
32,,3619,,1,0,
32,,3659,,1,0,
32,,3698,,1,0,
32,,3738,,1,0,
32,,3775,,1,0,
32,,3818,,1,0,
32,,3854,,1,0,
32,,3884,,1,0,
32,,3926,,1,0,
32,,3966,,1,0,
32,,4003,,1,0,
32,,4048,,1,0,
32,,4086,,1,0,
32,,4128,,1,0,
32,,4165,,1,0,
32,,4207,,1,0,
25,,0,,1,0,
25,,40,,0,1,
25,,80,,0,0,
25,,129,,0,1,
25,,199,,1,0,
25,,243,,0,0,
25,,284,,1,0,
25,,327,,1,0,
25,,367,,1,0,
25,,402,,1,0,
25,,445,,1,0,
25,,490,,0,0,
25,,532,,1,0,
25,,579,,0,0,
25,,623,,1,0,
25,,677,,1,0,
25,,722,,1,0,
25,,767,,1,0,
25,,811,,0,1,
25,,861,,0,0,
25,,905,,1,0,
25,,947,,0,1,
25,,987,,1,0,
25,,1030,,1,0,
25,,1072,,1,0,
25,,1114,,1,0,
25,,1160,,1,0,
25,,1201,,1,0,
25,,1248,,0,1,
25,,1291,,0,1,
25,,1329,,0,1,
25,,1367,,0,1,
25,,1413,,0,1,
25,,1460,,0,1,
25,,1504,,0,1,
25,,1551,,0,1,
25,,1593,,0,0,
25,,1636,,0,1,
25,,1680,,0,1,
25,,1725,,0,1,
25,,1767,,0,1,
25,,1811,,0,1,
25,,1852,,0,1,
25,,1891,,0,1,
25,,1932,,0,1,
25,,1976,,0,0,
25,,2020,,0,1,
25,,2061,,0,1,
25,,2105,,0,1,
25,,2143,,0,1,
25,,2174,,0,1,
25,,2203,,0,1,
25,,2235,,0,0,
25,,2277,,0,1,
25,,2315,,0,1,
25,,2355,,0,1,
25,,2400,,0,1,
25,,2447,,0,0,
25,,2490,,0,1,
25,,2534,,0,1,
25,,2573,,0,1,
25,,2603,,0,1,
25,,2641,,0,1,
25,,2683,,0,1,
25,,2726,,0,1,
25,,2769,,0,1,
15,,0,,0,1,
15,,30,,1,0,
15,,66,,1,0,
15,,107,,1,0,
15,,147,,1,0,
15,,197,,0,0,
15,,237,,0,0,
15,,276,,0,0,
15,,318,,0,0,
15,,359,,1,0,
15,,401,,1,0,
15,,432,,1,0,
15,,478,,1,0,
15,,521,,0,1,
15,,563,,1,0,
15,,605,,0,0,
15,,654,,1,0,
15,,696,,1,0,
15,,732,,0,0,
15,,763,,1,0,
15,,800,,1,0,
15,,838,,1,0,
15,,883,,0,0,
15,,927,,0,1,
15,,970,,0,1,
15,,1007,,0,0,
15,,1049,,1,0,
15,,1091,,1,0,
15,,1138,,0,1,
15,,1183,,0,0,
15,,1224,,1,0,
15,,1270,,0,1,
15,,1312,,0,1,
15,,1358,,0,1,
15,,1400,,0,1,
15,,1447,,0,1,
15,,1490,,0,1,
15,,1527,,0,1,
15,,1566,,0,1,
15,,1610,,0,1,
15,,1654,,0,1,
15,,1697,,0,1,
15,,1739,,0,1,
15,,1782,,0,1,
15,,1826,,0,1,
15,,1872,,0,1,
15,,1917,,0,1,
15,,1957,,0,1,
15,,2003,,0,1,
15,,2048,,0,1,
15,,2085,,0,1,
15,,2128,,0,1,
15,,2171,,0,1,
15,,2222,,0,1,
15,,2266,,0,1,
15,,2308,,0,1,
15,,2351,,0,1,
15,,2392,,0,1,
39,,0,,1,0,
39,,40,,1,0,
39,,79,,1,0,
39,,114,,1,0,
39,,158,,1,0,
39,,198,,1,0,
39,,237,,1,0,
39,,282,,1,0,
39,,328,,1,0,
39,,369,,0,1,
39,,414,,1,0,
39,,452,,1,0,
39,,497,,0,1,
39,,545,,0,0,
39,,588,,1,0,
39,,630,,1,0,
39,,675,,1,0,
39,,723,,1,0,
39,,768,,0,1,
39,,810,,0,1,
39,,848,,0,1,
39,,890,,0,1,
39,,930,,0,1,
39,,972,,0,1,
39,,1013,,1,0,
39,,1045,,1,0,
39,,1085,,1,0,
39,,1125,,1,0,
39,,1169,,0,1,
39,,1217,,0,1,
39,,1256,,0,1,
39,,1300,,1,0,
39,,1344,,0,0,
39,,1381,,1,0,
39,,1414,,0,1,
39,,1458,,0,1,
39,,1499,,0,1,
39,,1544,,0,1,
39,,1586,,0,1,
39,,1631,,0,1,
39,,1674,,0,1,
39,,1718,,0,1,
39,,1758,,0,1,
39,,1801,,0,1,
39,,1842,,0,1,
39,,1889,,0,1,
39,,1933,,0,1,
39,,1976,,0,1,
39,,2019,,0,1,
39,,2061,,0,1,
39,,2101,,0,1,
39,,2146,,0,1,
39,,2182,,0,1,
39,,2219,,0,1,
39,,2264,,0,1,
39,,2312,,0,1,
39,,2353,,0,1,
39,,2389,,0,1,
39,,2430,,0,1,
39,,2472,,0,1,
39,,2513,,0,1,
39,,2562,,0,1,
39,,2599,,0,1,
39,,2642,,0,1,
39,,2679,,0,1,
39,,2723,,0,1,
39,,2768,,0,1,
39,,2810,,0,1,
39,,2852,,0,1,
39,,2891,,0,1,
39,,2935,,0,1,
39,,2977,,0,1,
39,,3017,,0,1,
39,,3055,,0,0,
39,,3103,,0,1,
39,,3146,,0,1,
39,,3190,,1,0,
39,,3238,,0,1,
39,,3277,,0,1,
39,,3316,,0,1,
39,,3352,,0,1,
39,,3387,,0,1,
39,,3422,,0,1,
39,,3463,,0,1,
39,,3500,,1,0,
39,,3537,,1,0,
39,,3575,,0,0,
39,,3613,,1,0,
39,,3648,,0,0,
39,,3686,,1,0,
39,,3719,,1,0,
39,,3751,,0,0,
39,,3779,,0,0,
39,,3814,,1,0,
14,,0,,0,0,
14,,50,,1,0,
14,,94,,1,0,
14,,137,,1,0,
14,,179,,1,0,
14,,215,,1,0,
14,,257,,1,0,
14,,304,,1,0,
14,,353,,1,0,
14,,390,,1,0,
14,,431,,1,0,
14,,472,,0,0,
14,,516,,0,0,
14,,561,,1,0,
14,,608,,0,0,
14,,643,,1,0,
14,,685,,1,0,
14,,728,,1,0,
14,,774,,0,1,
14,,819,,0,0,
14,,863,,0,1,
14,,905,,0,0,
14,,951,,0,0,
14,,997,,1,0,
14,,1046,,0,1,
14,,1090,,1,0,
14,,1133,,0,0,
14,,1179,,0,1,
14,,1220,,1,0,
14,,1270,,1,0,
14,,1308,,0,1,
14,,1359,,1,0,
14,,1402,,1,0,
14,,1447,,1,0,
14,,1492,,1,0,
14,,1531,,1,0,
14,,1570,,1,0,
14,,1615,,0,0,
14,,1659,,1,0,
14,,1698,,1,0,
14,,1737,,1,0,
14,,1778,,1,0,
