trial,_left_canvas,_right_canvas,times,Unnamed: 4
17,0,1,799,
17,0,1,871,
17,0,1,933,
17,0,1,991,
17,0,0,1052,
17,1,0,1109,
17,0,0,1167,
17,1,0,1225,
17,1,0,1287,
17,1,0,1338,
17,1,0,1392,
17,1,0,1445,
18,1,0,0,
18,1,0,59,
18,1,0,120,
18,1,0,176,
18,1,0,236,
18,1,0,288,
18,1,0,346,
18,1,0,394,
18,1,0,456,
18,1,0,509,
18,1,0,567,
18,1,0,622,
18,1,0,684,
18,1,0,740,
18,1,0,802,
18,1,0,861,
18,1,0,929,
18,1,0,998,
18,1,0,1063,
18,1,0,1139,
18,1,0,1262,
18,1,0,1363,
18,1,0,1470,
18,1,0,1572,
18,0,1,1665,
18,0,1,1761,
18,0,1,1862,
18,0,1,1963,
18,0,1,2060,
18,0,1,2164,
18,0,1,2230,
18,0,1,2288,
18,0,1,2343,
18,0,1,2401,
18,0,1,2489,
18,0,1,2601,
18,0,1,2658,
18,0,1,2731,
18,0,1,2797,
18,0,1,2865,
18,0,1,2928,
18,0,1,2986,
18,0,1,3042,
18,0,1,3099,
18,0,1,3169,
18,0,1,3230,
18,0,1,3287,
18,0,1,3343,
18,0,1,3401,
18,0,1,3465,
18,0,1,3518,
18,0,1,3571,
18,0,1,3629,
18,0,1,3683,
18,0,1,3739,
18,0,1,3801,
18,0,1,3870,
18,0,1,3925,
18,0,1,3984,
18,0,1,4043,
18,0,1,4101,
18,0,1,4159,
18,0,1,4213,
18,0,1,4275,
18,0,1,4338,
18,0,1,4394,
18,0,1,4452,
18,0,1,4504,
18,0,1,4569,
18,1,0,4626,
18,1,0,4695,
18,1,0,4747,
18,1,0,4811,
18,1,0,4874,
18,1,0,4933,
18,1,0,4998,
18,1,0,5050,
18,0,0,5108,
18,1,0,5181,
18,1,0,5241,
19,1,0,0,
19,1,0,81,
19,1,0,139,
19,1,0,218,
19,1,0,272,
19,0,1,337,
19,0,0,413,
19,0,1,476,
19,0,1,542,
19,0,1,608,
19,0,1,677,
19,0,1,745,
19,0,1,808,
19,0,1,882,
19,0,1,940,
19,0,1,1008,
19,0,1,1075,
19,1,0,1143,
19,1,0,1200,
19,1,0,1256,
19,1,0,1318,
19,1,0,1377,
19,1,0,1439,
19,1,0,1497,
19,1,0,1550,
19,1,0,1611,
19,1,0,1668,
19,1,0,1722,
19,1,0,1782,
19,0,1,1841,
19,0,1,1896,
19,0,1,1956,
19,0,1,2016,
19,0,1,2076,
19,0,1,2133,
19,0,1,2188,
19,0,1,2238,
19,0,1,2293,
19,0,1,2347,
19,0,1,2399,
19,0,1,2459,
19,0,1,2514,
19,0,1,2569,
19,0,1,2632,
19,1,0,2692,
19,1,0,2746,
19,1,0,2803,
19,1,0,2856,
19,1,0,2914,
19,1,0,2971,
19,1,0,3023,
19,1,0,3100,
19,1,0,3217,
19,0,0,3273,
19,1,0,3336,
19,1,0,3400,
19,0,0,3458,
19,0,1,3520,
19,0,1,3579,
20,0,0,0,
20,0,1,62,
20,1,0,129,
20,1,0,189,
20,1,0,248,
20,1,0,311,
20,1,0,366,
20,1,0,422,
20,1,0,478,
20,1,0,541,
20,0,1,602,
20,0,1,663,
20,0,1,716,
20,0,1,777,
20,0,1,832,
20,0,0,890,
20,0,1,945,
20,0,1,1004,
20,0,1,1065,
20,0,1,1141,
20,0,1,1279,
20,0,1,1418,
20,0,1,1525,
20,1,0,1642,
20,1,0,1739,
20,1,0,1870,
21,0,1,0,
21,0,1,65,
21,0,0,132,
21,0,1,191,
21,0,0,246,
21,0,0,301,
21,1,0,362,
21,1,0,421,
21,1,0,480,
21,1,0,538,
21,1,0,589,
21,1,0,646,
21,1,0,716,
21,1,0,774,
21,1,0,826,
21,1,0,880,
21,1,0,949,
21,1,0,1015,
21,1,0,1086,
21,1,0,1151,
21,1,0,1212,
21,1,0,1272,
21,1,0,1337,
21,1,0,1406,
21,1,0,1458,
21,1,0,1508,
21,1,0,1561,
21,1,0,1625,
21,1,0,1683,
21,1,0,1747,
21,1,0,1810,
21,1,0,1869,
22,1,0,0,
22,1,0,60,
22,1,0,116,
22,1,0,173,
22,1,0,231,
22,0,0,291,
22,1,0,352,
22,1,0,414,
22,1,0,484,
22,0,1,543,
22,0,1,609,
22,0,1,668,
22,0,1,730,
22,0,1,788,
22,0,1,854,
22,0,1,920,
22,0,1,1002,
22,0,1,1076,
22,0,1,1147,
22,0,1,1213,
22,0,1,1290,
22,0,1,1354,
22,0,1,1414,
22,0,1,1474,
23,1,0,0,
23,1,0,76,
23,1,0,134,
23,0,1,194,
23,0,1,251,
23,1,0,303,
23,1,0,372,
23,1,0,434,
23,1,0,498,
23,1,0,559,
23,1,0,611,
23,1,0,671,
23,1,0,735,
23,1,0,806,
23,1,0,869,
23,1,0,926,
23,1,0,993,
23,1,0,1064,
23,0,1,1144,
23,1,0,1207,
23,1,0,1264,
23,1,0,1318,
23,1,0,1377,
23,1,0,1434,
23,1,0,1491,
23,0,1,1560,
23,0,0,1635,
23,0,0,1698,
23,0,1,1756,
23,0,0,1814,
23,0,1,1878,
23,0,1,1956,
23,0,1,2014,
23,0,1,2085,
23,0,1,2137,
23,0,1,2203,
23,0,1,2280,
23,0,1,2353,
23,0,1,2409,
23,0,1,2468,
23,0,1,2535,
23,0,1,2593,
23,0,1,2658,
23,0,1,2716,
23,0,0,2774,
23,1,0,2834,
23,1,0,2897,
23,1,0,2954,
23,1,0,3021,
23,1,0,3073,
23,0,0,3128,
23,1,0,3182,
23,1,0,3242,
23,1,0,3301,
23,1,0,3356,
23,1,0,3417,
23,1,0,3481,
24,0,0,0,
24,0,1,70,
24,0,0,129,
24,0,0,185,
24,0,1,242,
24,0,1,299,
24,0,1,353,
24,0,1,415,
24,0,1,472,
24,0,1,525,
24,0,1,580,
24,0,1,638,
24,0,1,705,
24,0,1,765,
24,0,1,823,
24,0,1,881,
24,0,1,941,
24,0,1,995,
24,0,1,1051,
24,0,1,1113,
24,0,1,1180,
24,0,1,1248,
24,0,1,1326,
24,0,1,1383,
24,0,1,1438,
25,0,0,0,
25,1,0,63,
25,0,0,128,
25,1,0,181,
25,1,0,239,
25,1,0,298,
25,1,0,365,
25,0,0,423,
25,1,0,480,
25,1,0,542,
25,1,0,615,
25,1,0,677,
25,1,0,739,
25,1,0,807,
25,1,0,876,
25,1,0,940,
25,1,0,1007,
25,1,0,1072,
25,1,0,1130,
25,1,0,1191,
25,1,0,1252,
25,1,0,1312,
25,1,0,1366,
25,1,0,1422,
25,1,0,1486,
25,1,0,1544,
25,1,0,1603,
25,1,0,1661,
25,1,0,1724,
25,1,0,1781,
26,1,0,0,
26,1,0,60,
26,0,0,116,
26,0,1,171,
26,0,1,229,
26,0,1,310,
26,0,1,367,
26,0,1,423,
26,0,1,484,
26,0,1,544,
26,0,1,601,
26,0,1,672,
26,0,1,729,
26,0,1,795,
26,0,1,857,
26,0,1,917,
26,0,1,985,
26,0,1,1040,
26,0,1,1093,
26,0,1,1150,
26,0,1,1204,
26,0,1,1265,
26,0,1,1324,
27,0,0,0,
27,1,0,71,
27,0,1,130,
27,0,0,185,
27,1,0,242,
27,1,0,304,
27,1,0,358,
27,1,0,414,
27,1,0,471,
27,1,0,529,
27,1,0,591,
27,1,0,656,
