trial,times,_right_canvas,_left_canvas,Unnamed: 4
14,241,1,0,
14,310,1,0,
14,378,1,0,
14,432,0,0,
14,472,1,0,
14,522,1,0,
14,589,1,0,
14,640,1,0,
14,702,1,0,
14,776,1,0,
14,835,0,0,
14,899,1,0,
14,966,1,0,
14,1012,1,0,
14,1076,1,0,
14,1139,1,0,
14,1207,1,0,
14,1259,1,0,
14,1328,0,1,
14,1392,1,0,
14,1436,0,0,
14,1475,0,1,
14,1550,0,1,
14,1592,1,0,
14,1655,0,0,
15,0,0,1,
15,78,0,0,
15,142,0,0,
15,212,1,0,
15,281,0,1,
15,335,0,1,
15,402,1,0,
15,474,1,0,
15,541,1,0,
15,612,0,0,
15,673,1,0,
15,727,0,1,
15,796,1,0,
15,863,1,0,
15,903,0,0,
15,943,0,0,
15,1009,1,0,
15,1080,0,0,
16,0,1,0,
16,48,0,1,
16,95,0,1,
16,161,1,0,
16,240,0,0,
16,314,1,0,
16,396,1,0,
16,463,1,0,
16,538,1,0,
16,595,1,0,
16,647,1,0,
16,709,1,0,
16,760,1,0,
16,815,1,0,
16,858,1,0,
16,911,0,0,
16,972,1,0,
16,1028,1,0,
16,1080,1,0,
16,1129,1,0,
16,1180,1,0,
16,1226,1,0,
17,0,0,1,
17,38,0,1,
17,107,0,1,
17,150,0,1,
17,219,0,1,
17,259,0,1,
17,323,0,1,
17,386,0,1,
17,425,0,1,
17,464,0,1,
17,522,0,1,
17,593,0,1,
17,636,0,1,
17,687,0,1,
17,728,0,1,
17,799,0,1,
17,863,0,1,
17,929,0,1,
17,989,0,1,
18,0,1,0,
18,54,0,0,
18,115,1,0,
18,180,0,1,
18,250,1,0,
18,320,1,0,
18,391,1,0,
18,461,0,0,
18,522,0,1,
18,576,0,1,
18,640,0,1,
18,693,0,1,
18,757,0,1,
18,828,0,1,
18,874,1,0,
18,920,0,1,
18,979,0,1,
18,1046,0,1,
18,1092,0,1,
18,1135,0,1,
18,1202,0,1,
18,1251,0,1,
18,1316,1,0,
18,1379,1,0,
18,1447,1,0,
18,1509,1,0,
18,1575,1,0,
18,1642,1,0,
18,1708,1,0,
18,1775,1,0,
18,1830,1,0,
18,1881,1,0,
18,1926,1,0,
18,2005,1,0,
18,2048,0,1,
18,2110,1,0,
18,2173,1,0,
18,2239,1,0,
18,2298,1,0,
18,2363,1,0,
18,2441,1,0,
18,2492,1,0,
18,2558,0,0,
18,2623,0,0,
18,2681,1,0,
18,2755,1,0,
18,2801,1,0,
18,2866,1,0,
18,2928,1,0,
18,2981,1,0,
18,3043,1,0,
18,3101,0,0,
18,3162,1,0,
18,3229,1,0,
18,3281,1,0,
18,3337,1,0,
18,3405,1,0,
18,3446,1,0,
18,3513,1,0,
18,3569,1,0,
18,3626,1,0,
18,3679,1,0,
18,3724,1,0,
18,3795,1,0,
18,3868,1,0,
18,3927,1,0,
18,3994,1,0,
18,4070,1,0,
18,4118,1,0,
18,4175,1,0,
18,4260,1,0,
18,4328,1,0,
18,4396,1,0,
18,4465,1,0,
18,4510,1,0,
18,4579,1,0,
18,4649,1,0,
18,4698,1,0,
18,4737,1,0,
18,4801,0,0,
18,4865,1,0,
18,4910,1,0,
18,4977,1,0,
18,5044,1,0,
18,5102,1,0,
18,5172,1,0,
