trial,times,_right_canvas,_left_canvas,Unnamed: 4
21,349,0,1,
21,412,0,1,
21,466,0,1,
21,523,0,1,
21,582,0,1,
21,637,0,1,
21,692,0,1,
21,753,0,1,
21,815,0,1,
22,0,0,1,
22,58,0,0,
22,118,1,0,
22,169,0,1,
22,219,0,0,
22,278,1,0,
22,333,1,0,
22,389,0,0,
22,447,0,0,
22,502,1,0,
22,553,0,0,
22,611,1,0,
22,668,0,1,
22,718,0,1,
22,774,0,0,
22,825,1,0,
23,0,0,1,
23,71,0,1,
23,137,0,1,
23,201,0,1,
23,266,0,1,
23,322,0,1,
23,377,0,1,
23,431,0,1,
23,489,0,1,
23,552,0,1,
23,609,0,1,
23,662,0,1,
23,715,0,0,
23,771,0,1,
23,847,0,1,
24,0,0,0,
24,73,0,1,
24,129,0,1,
24,189,0,1,
24,250,1,0,
24,321,0,1,
24,376,1,0,
24,439,1,0,
24,498,0,1,
24,559,1,0,
24,620,0,0,
24,680,0,0,
24,739,1,0,
24,797,0,0,
24,854,0,0,
24,915,0,0,
24,973,0,0,
24,1029,1,0,
24,1086,0,0,
24,1140,1,0,
24,1198,1,0,
24,1251,1,0,
24,1307,1,0,
24,1370,1,0,
24,1429,0,0,
24,1482,1,0,
24,1537,1,0,
24,1594,0,1,
25,0,1,0,
25,62,1,0,
25,123,0,0,
25,180,1,0,
25,239,1,0,
25,299,1,0,
25,360,1,0,
25,417,1,0,
25,479,1,0,
25,540,1,0,
25,597,1,0,
25,657,0,0,
25,710,1,0,
25,766,1,0,
26,0,0,1,
26,74,0,0,
26,124,0,0,
26,194,0,1,
26,265,0,0,
26,327,0,1,
26,388,0,1,
26,450,0,1,
26,513,0,0,
26,590,0,0,
26,651,0,1,
26,710,0,1,
26,788,0,0,
26,858,0,0,
27,0,0,0,
27,54,1,0,
27,117,0,0,
27,180,0,0,
27,236,1,0,
27,288,0,1,
27,348,1,0,
27,405,1,0,
27,462,1,0,
27,520,0,1,
27,578,0,0,
27,635,0,1,
27,694,1,0,
27,750,1,0,
27,811,1,0,
27,864,1,0,
27,918,1,0,
27,974,1,0,
27,1033,1,0,
27,1084,1,0,
27,1145,1,0,
27,1204,1,0,
28,0,0,1,
28,57,0,1,
28,115,0,1,
28,175,0,0,
28,234,0,1,
28,292,0,1,
28,348,0,0,
28,405,0,1,
28,464,0,1,
28,531,0,1,
28,591,0,1,
28,642,0,1,
28,693,0,1,
28,754,0,0,
28,811,1,0,
28,870,1,0,
28,927,1,0,
28,980,1,0,
28,1039,1,0,
28,1097,1,0,
29,0,0,0,
29,64,1,0,
29,115,1,0,
29,168,0,0,
29,224,1,0,
29,279,0,1,
29,335,0,0,
29,394,1,0,
29,453,1,0,
29,513,0,1,
29,571,0,1,
29,627,0,1,
29,683,1,0,
29,735,0,0,
29,794,1,0,
29,847,0,1,
29,906,1,0,
30,0,0,0,
30,62,0,0,
30,121,1,0,
30,184,1,0,
30,244,0,0,
30,300,1,0,
30,361,1,0,
30,413,1,0,
30,467,1,0,
30,522,1,0,
30,577,0,0,
30,630,1,0,
30,689,0,0,
30,745,1,0,
31,0,1,0,
31,65,1,0,
31,122,1,0,
31,181,1,0,
31,238,1,0,
31,298,0,0,
31,358,1,0,
31,415,1,0,
31,476,1,0,
31,534,1,0,
31,589,0,0,
31,644,1,0,
31,703,1,0,
31,758,1,0,
31,813,1,0,
31,872,1,0,
31,932,1,0,
31,991,1,0,
31,1049,1,0,
31,1110,1,0,
31,1175,1,0,
31,1236,1,0,
31,1293,1,0,
31,1342,1,0,
31,1404,1,0,
32,0,0,0,
32,65,1,0,
32,125,1,0,
32,187,1,0,
32,262,0,0,
32,345,1,0,
32,404,1,0,
32,468,1,0,
32,524,0,0,
32,576,1,0,
32,632,0,0,
32,691,0,0,
33,0,1,0,
33,70,1,0,
33,139,1,0,
33,193,1,0,
33,245,0,1,
33,302,0,1,
33,359,0,1,
33,411,0,1,
33,469,0,1,
33,525,0,1,
33,576,0,1,
33,630,0,1,
33,690,1,0,
33,744,1,0,
33,803,1,0,
33,855,1,0,
33,910,0,1,
33,971,1,0,
33,1030,1,0,
33,1100,1,0,
33,1156,0,1,
33,1208,0,1,
33,1265,0,1,
33,1323,0,1,
33,1376,0,1,
33,1433,0,1,
33,1494,1,0,
34,0,0,0,
34,69,0,0,
34,127,0,1,
34,187,0,1,
34,241,0,1,
34,297,1,0,
34,354,1,0,
34,415,1,0,
34,467,1,0,
34,527,1,0,
34,587,1,0,
34,642,1,0,
34,699,1,0,
34,763,1,0,
35,0,1,0,
35,63,1,0,
35,127,1,0,
35,182,0,1,
35,235,0,1,
35,292,0,1,
35,355,1,0,
35,416,1,0,
35,473,1,0,
35,528,1,0,
