trial,times,_right_canvas,_left_canvas,Unnamed: 4
14,1937,0,0,
14,1969,1,0,
14,2002,0,0,
14,2036,0,0,
14,2069,0,0,
14,2095,0,0,
14,2126,0,0,
14,2156,1,0,
14,2187,1,0,
14,2220,1,0,
14,2254,1,0,
14,2288,0,1,
14,2321,0,0,
14,2354,0,1,
14,2380,0,1,
14,2406,0,0,
14,2438,0,0,
14,2471,0,0,
14,2505,0,0,
14,2539,0,0,
14,2574,0,0,
14,2606,0,1,
14,2640,0,0,
15,0,0,1,
15,34,0,1,
15,67,0,1,
15,94,0,1,
15,127,0,1,
15,164,0,1,
15,200,0,1,
15,233,0,1,
15,266,0,1,
15,299,0,1,
15,331,0,1,
15,365,0,0,
15,399,0,0,
15,432,0,1,
15,466,1,0,
15,499,1,0,
15,532,0,0,
15,565,1,0,
15,598,1,0,
15,632,1,0,
15,666,1,0,
15,699,1,0,
15,732,1,0,
15,770,1,0,
15,800,1,0,
15,832,1,0,
15,865,0,0,
15,898,1,0,
15,932,1,0,
15,965,1,0,
15,999,1,0,
15,1032,1,0,
15,1067,0,0,
15,1100,0,0,
15,1133,0,1,
15,1166,0,1,
15,1199,0,1,
15,1233,0,1,
15,1266,0,1,
15,1300,0,1,
15,1326,0,1,
15,1353,0,1,
15,1383,0,1,
15,1417,0,0,
15,1450,0,1,
15,1483,0,0,
15,1511,0,1,
15,1543,1,0,
15,1576,1,0,
15,1608,1,0,
15,1641,1,0,
15,1678,1,0,
15,1707,1,0,
15,1738,1,0,
15,1769,1,0,
16,0,1,0,
16,37,1,0,
16,69,1,0,
16,105,1,0,
16,145,1,0,
16,180,1,0,
16,215,1,0,
16,248,1,0,
16,279,1,0,
16,312,0,1,
16,342,0,1,
16,370,0,0,
16,406,1,0,
16,433,1,0,
16,466,1,0,
16,503,1,0,
16,533,0,0,
16,562,0,0,
16,596,1,0,
16,629,0,0,
16,664,0,1,
16,696,0,1,
16,729,0,1,
16,762,1,0,
16,796,0,0,
16,830,0,0,
16,863,0,0,
16,896,0,0,
17,0,0,0,
17,33,0,0,
17,66,0,1,
17,98,0,1,
17,131,0,1,
17,164,0,1,
17,197,0,1,
17,230,0,1,
17,263,0,1,
