trial,_left_canvas,times,_right_canvas,Unnamed: 4
10,0,850,1,
10,0,886,1,
10,0,920,1,
10,0,959,1,
10,0,994,1,
10,0,1031,1,
10,0,1068,1,
10,0,1109,1,
11,1,0,0,
11,1,36,0,
11,0,73,1,
11,1,107,0,
11,1,145,0,
11,0,202,1,
11,0,235,0,
11,1,273,0,
11,1,317,0,
11,0,371,1,
11,0,409,0,
11,0,443,1,
11,0,477,1,
11,0,511,1,
11,0,551,0,
11,1,584,0,
11,1,622,0,
11,1,677,0,
11,1,712,0,
11,1,746,0,
11,1,816,0,
11,1,853,0,
11,1,889,0,
11,1,926,0,
11,1,961,0,
12,1,0,0,
12,1,36,0,
12,1,69,0,
12,0,128,0,
12,0,167,0,
12,0,216,1,
12,0,262,1,
12,1,300,0,
12,1,334,0,
12,1,369,0,
12,1,411,0,
12,0,453,0,
12,0,486,1,
12,1,529,0,
12,0,568,0,
12,0,603,1,
12,0,637,1,
12,0,675,1,
12,0,711,1,
12,0,767,1,
12,0,804,1,
12,0,842,1,
12,0,881,1,
12,0,921,1,
12,0,955,1,
12,0,992,1,
12,0,1031,0,
12,0,1067,1,
12,0,1106,1,
12,1,1142,0,
12,0,1178,0,
12,1,1216,0,
13,0,0,1,
13,1,36,0,
13,0,71,1,
13,0,104,0,
13,1,143,0,
13,0,178,0,
13,0,215,1,
13,0,265,0,
13,0,302,1,
13,0,343,1,
13,0,380,1,
13,0,417,1,
13,0,452,1,
13,0,517,0,
13,0,553,1,
13,0,591,1,
13,0,629,1,
13,0,666,1,
13,0,704,1,
13,0,746,1,
13,0,783,1,
13,0,838,1,
14,1,0,0,
14,0,54,1,
14,1,92,0,
14,1,125,0,
14,0,164,0,
14,1,200,0,
14,0,240,0,
14,0,277,1,
14,0,314,1,
14,0,348,1,
14,0,383,1,
14,0,444,1,
14,0,480,1,
14,0,518,1,
14,0,581,1,
14,0,623,1,
14,0,658,1,
14,0,693,1,
14,0,729,1,
14,0,769,1,
14,0,816,1,
14,0,858,1,
14,1,893,0,
14,0,930,1,
14,0,965,1,
14,0,1033,1,
14,0,1070,0,
14,0,1109,1,
14,0,1143,1,
14,0,1180,0,
14,0,1214,0,
14,0,1265,1,
14,1,1315,0,
14,0,1349,0,
14,0,1392,1,
14,0,1426,1,
14,0,1462,1,
14,0,1526,1,
14,1,1561,0,
14,1,1599,0,
14,1,1633,0,
14,1,1671,0,
14,1,1719,0,
14,1,1764,0,
14,1,1820,0,
14,1,1859,0,
14,1,1897,0,
14,1,1935,0,
14,1,1972,0,
14,1,2015,0,
14,1,2052,0,
14,1,2089,0,
14,1,2122,0,
14,1,2177,0,
14,1,2215,0,
14,1,2249,0,
14,1,2287,0,
14,0,2321,1,
14,1,2357,0,
14,0,2400,1,
14,0,2437,1,
14,0,2494,1,
14,1,2532,0,
14,0,2571,0,
14,0,2608,1,
14,0,2641,1,
15,1,0,0,
15,1,40,0,
15,0,108,1,
15,0,165,1,
15,1,216,0,
15,1,250,0,
15,1,283,0,
15,1,324,0,
15,1,362,0,
15,1,400,0,
15,1,434,0,
15,1,474,0,
15,1,507,0,
15,1,541,0,
15,1,574,0,
15,1,612,0,
15,1,649,0,
15,1,686,0,
