trial,_left_canvas,times,_right_canvas,Unnamed: 4
20,0,681,1,
20,0,725,1,
20,0,781,1,
20,0,830,1,
20,0,885,1,
20,0,928,1,
20,0,966,1,
20,0,1004,0,
20,1,1038,0,
20,1,1074,0,
20,1,1107,0,
20,1,1134,0,
20,1,1162,0,
20,1,1204,0,
20,1,1239,0,
20,1,1276,0,
20,1,1321,0,
20,1,1359,0,
21,1,0,0,
21,1,57,0,
21,1,94,0,
21,1,142,0,
21,1,199,0,
21,1,247,0,
21,1,288,0,
21,1,339,0,
21,1,380,0,
21,1,430,0,
21,1,475,0,
21,1,529,0,
21,0,565,0,
21,0,617,1,
21,0,673,0,
21,0,724,0,
21,0,784,1,
21,0,836,0,
21,0,895,1,
21,0,940,1,
21,0,988,1,
21,0,1033,1,
21,0,1084,1,
21,0,1130,0,
21,0,1168,1,
21,1,1210,0,
21,0,1243,0,
21,0,1286,0,
21,1,1333,0,
21,1,1371,0,
21,1,1414,0,
21,1,1472,0,
21,1,1521,0,
21,1,1569,0,
21,1,1621,0,
21,1,1670,0,
21,1,1720,0,
21,1,1775,0,
21,1,1815,0,
21,1,1862,0,
21,1,1901,0,
21,1,1939,0,
21,1,1973,0,
21,1,2016,0,
21,0,2064,0,
21,0,2097,1,
21,0,2133,0,
21,0,2179,0,
21,0,2214,1,
21,0,2256,1,
21,0,2308,1,
21,0,2342,1,
21,1,2385,0,
21,0,2441,0,
21,1,2495,0,
21,1,2540,0,
21,1,2582,0,
21,1,2630,0,
21,1,2688,0,
21,1,2726,0,
21,1,2778,0,
21,1,2834,0,
21,1,2867,0,
21,0,2898,1,
21,0,2935,1,
21,0,2971,1,
21,1,3011,0,
21,0,3045,1,
21,0,3086,1,
21,0,3124,1,
21,0,3173,1,
21,1,3217,0,
21,0,3256,1,
21,0,3310,0,
21,0,3359,1,
21,0,3410,0,
21,0,3464,1,
21,0,3503,1,
21,0,3559,0,
21,0,3622,1,
21,1,3674,0,
21,0,3735,0,
21,0,3782,0,
21,1,3825,0,
21,1,3881,0,
21,1,3928,0,
21,1,3968,0,
21,1,4017,0,
22,0,0,0,
22,1,37,0,
22,1,90,0,
22,0,133,0,
22,0,189,1,
22,0,240,0,
22,0,276,1,
22,0,323,1,
22,0,377,1,
22,0,421,1,
22,0,455,1,
22,0,500,1,
22,0,528,1,
22,0,572,1,
22,0,622,1,
22,0,673,1,
22,0,708,1,
22,0,748,1,
22,0,791,1,
22,0,843,0,
23,0,0,0,
23,0,40,1,
23,1,87,0,
23,1,141,0,
23,0,200,0,
23,1,247,0,
23,1,295,0,
23,1,346,0,
23,1,388,0,
23,1,424,0,
23,1,465,0,
23,1,510,0,
23,1,547,0,
23,1,583,0,
23,1,617,0,
23,1,653,0,
23,1,691,0,
23,1,734,0,
23,1,782,0,
23,1,824,0,
24,0,0,1,
24,0,42,1,
24,0,87,1,
24,1,130,0,
24,0,174,1,
24,0,225,1,
24,0,270,1,
24,0,307,1,
24,0,354,1,
24,0,393,1,
24,0,433,1,
24,0,480,0,
24,0,518,1,
24,0,563,1,
24,0,621,1,
25,1,0,0,
25,0,33,0,
25,1,71,0,
25,1,118,0,
25,1,153,0,
25,0,190,1,
25,1,251,0,
25,1,292,0,
25,1,345,0,
25,1,402,0,
25,1,454,0,
25,1,499,0,
25,1,541,0,
25,1,595,0,
25,1,632,0,
25,1,675,0,
25,1,722,0,
25,1,769,0,
25,1,804,0,
25,1,842,0,
25,1,888,0,
25,0,922,0,
25,0,957,1,
25,0,999,1,
25,0,1031,1,
25,0,1060,1,
25,0,1093,1,
25,0,1133,1,
25,0,1170,1,
25,0,1215,1,
25,0,1258,1,
25,0,1307,1,
25,0,1355,1,
25,0,1406,1,
25,0,1444,1,
25,0,1489,1,
25,0,1537,1,
25,0,1588,1,
25,0,1630,1,
25,0,1673,1,
25,0,1719,1,
25,1,1777,0,
25,1,1812,0,
25,1,1843,0,
25,1,1890,0,
25,1,1935,0,
25,1,1966,0,
25,1,2016,0,
25,1,2050,0,
25,1,2083,0,
25,1,2127,0,
25,1,2175,0,
25,1,2210,0,
25,1,2245,0,
25,1,2285,0,
25,1,2325,0,
25,1,2375,0,
25,1,2408,0,
25,1,2449,0,
25,1,2492,0,
25,1,2538,0,
25,1,2595,0,
25,1,2646,0,
25,1,2686,0,
25,1,2732,0,
25,1,2777,0,
25,1,2834,0,
25,1,2872,0,
25,1,2927,0,
25,1,2976,0,
25,1,3032,0,
25,1,3085,0,
25,1,3138,0,
25,1,3190,0,
25,1,3234,0,
25,1,3295,0,
25,1,3346,0,
25,1,3388,0,
25,1,3442,0,
25,0,3497,1,
25,0,3554,1,
25,0,3606,1,
25,0,3653,1,
26,1,0,0,
26,1,43,0,
26,1,96,0,
26,0,147,1,
26,1,204,0,
26,0,255,1,
26,0,306,0,
26,0,346,1,
26,0,389,1,
26,0,436,0,
26,1,487,0,
26,1,532,0,
26,0,578,0,
26,0,632,0,
26,1,680,0,
27,0,0,0,
27,0,54,1,
27,1,106,0,
27,0,157,0,
27,0,206,0,
27,1,251,0,
27,0,298,1,
27,1,355,0,
27,0,403,0,
27,0,447,0,
27,1,491,0,
27,0,536,1,
27,1,580,0,
27,0,622,1,
27,0,673,1,
28,1,0,0,
28,0,38,0,
28,0,86,1,
28,1,141,0,
28,1,198,0,
28,0,254,1,
28,0,289,1,
28,0,335,1,
28,0,381,1,
28,0,425,1,
28,0,469,0,
28,0,505,1,
28,0,542,1,
28,0,585,1,
28,0,633,1,
28,0,690,1,
29,1,0,0,
29,1,47,0,
29,0,91,1,
